,#ID_Hannah_thesis,NROH,SROH,Species,Coll_number,Coll_year,DNA_input,Section,Material,Reads_hits,Depth,Date,Country,Region,Province,District,Location,Habitat,Altitude,Herb_nbr,S_deg,S_min,S_sec,E_deg,E_min,E_sec,Latitude,Longitude
50,201,874,1524.936,B.kaniensis,ELAE23,2018,110.7,Diploclinium,Silica,224007,0.113445,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Mid montane forest,1555,,,,,,,,-5.119075,141.662523
51,202,895,5899.547,B.brachybotrys,ELAE24,2018,110.7,Petermannia,Silica,11377442,8.48868,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Mid montane forest,1555,,,,,,,,-5.119075,141.662523
52,202a,3268,15522.019,B.brachybotrys,ELAE24,2018,,Petermannia,Silica,5084817,3.38671,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Mid montane forest,1555,202a,,,,,,,-5.119075,141.662523
53,203,367,599.477,B.sandsiana,ELAE26,2018,110.7,Oligandrae,Silica,164556,0.0849058,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Mid montane forest,1529,,,,,,,,-5.119147,141.661438
54,204,294,475.121,B.Petermannia,ELAE27,2018,94,Petermannia,Silica,700055,0.349671,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Mid montane forest,1529,,,,,,,,-5.119147,141.661438
55,205,242,551.812,B.bracssii,ELAE29,2018,110.7,Oligandrae,Herbarium,7137269,4.38456,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Feramin,Mid montane forest,1457,,,,,,,,-5.214287,141.708498
56,206,58,75.971,B.Oligandrae,ELAE30,2018,110.7,Oligandrae,Silica,802708,0.405904,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Feramin,Mid montane forest,1699,,,,,,,,-5.230647,141.725124
57,207,1053,2388.475,B.brassii,ELAE31,2018,110.7,Oligandrae,Silica,1193140,0.567533,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Feramin,Mid montane forest,1699,,,,,,,,-5.230647,141.725124
58,208,862,1532.631,B.vinkii,ELAE44,2018,88.5,Symbegonia,Silica,701817,0.361414,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Feramin,Mid montane forest,1875,,,,,,,,-5.236574,141.730797
59,209,1316,3125.067,B.Symbegonia,ELAE46,2018,110.7,Symbegonia,Silica,1107751,0.578501,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Feramin,Mid montane forest,1860,,,,,,,,-5.233635,141.730684
60,210,1165,2261.912,B.pentandra,ELAE47,2018,110.7,Oligandrae,Silica,1191266,0.690852,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Feramin,Mid montane forest,1415,,,,,,,,-5.177844,141.692992
61,211,395,763.213,B.Petermannia,ELAE52,2018,110.7,Petermannia,Silica,2187988,1.50424,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Feramin,Mid montane forest,1477,,,,,,,,-5.172132,141.691039
62,212,2206,6221.725,B.kaniensis,ELAE57,2018,110.7,Diploclinium,Silica,3201317,1.62763,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1680,,,,,,,,-5.108328,141.647319
63,213,393,1046.638,B.Petermannia,ELAE62,2018,110.7,Symbegonia,Silica,4494448,2.22843,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1635,,,,,,,,-5.094398,141.61329
64,214,455,723.285,B.Petermannia,ELAE72,2018,89,Petermannia,Silica,1999843,1.08829,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1743,,,,,,,,-5.089031,141.613149
65,215,1905,4152.372,B.Petermannia,ELAE81,2018,32,Petermannia,Silica,1556246,0.851882,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1401,,,,,,,,-5.144215,141.650183
66,216,204,578.999,B.Petermannia,ELAE82,2018,77,Petermannia,Silica,2415171,1.25395,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Tekin,Limestone karst forest ,1757,,,,,,,,-5.239259,142.147984
67,217,349,884.079,B.Petermannia,ELAE83,2018,53.5,Petermannia,Silica,4475125,2.85476,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Tekin,Montane forest on limestone ,2063,,,,,,,,-5.251981,142.167729
