Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1970","1970","hg/ha","7713","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1971","1971","hg/ha","7532","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1972","1972","hg/ha","7802","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1973","1973","hg/ha","7577","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1974","1974","hg/ha","7269","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1975","1975","hg/ha","7149","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1976","1976","hg/ha","7129","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1977","1977","hg/ha","7679","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1978","1978","hg/ha","7639","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1979","1979","hg/ha","7761","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1980","1980","hg/ha","7991","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1981","1981","hg/ha","7908","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1982","1982","hg/ha","8008","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1983","1983","hg/ha","8335","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1984","1984","hg/ha","9138","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1985","1985","hg/ha","10700","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1986","1986","hg/ha","10455","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1987","1987","hg/ha","10718","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1988","1988","hg/ha","11081","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1989","1989","hg/ha","11118","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1990","1990","hg/ha","11282","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1991","1991","hg/ha","12151","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1992","1992","hg/ha","11977","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1993","1993","hg/ha","12512","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1994","1994","hg/ha","12633","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1995","1995","hg/ha","12618","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1996","1996","hg/ha","12956","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1997","1997","hg/ha","13420","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1998","1998","hg/ha","14337","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","1999","1999","hg/ha","14141","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2000","2000","hg/ha","13665","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2001","2001","hg/ha","14054","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2002","2002","hg/ha","13992","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2003","2003","hg/ha","13952","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2004","2004","hg/ha","14056","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2005","2005","hg/ha","14426","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2006","2006","hg/ha","14136","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2007","2007","hg/ha","14447","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2008","2008","hg/ha","14252","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2009","2009","hg/ha","14137","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2010","2010","hg/ha","14610","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2011","2011","hg/ha","14189","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2012","2012","hg/ha","14309","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2013","2013","hg/ha","14687","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2014","2014","hg/ha","14505","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2015","2015","hg/ha","14857","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2016","2016","hg/ha","14694","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2017","2017","hg/ha","13430","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2018","2018","hg/ha","13685","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2019","2019","hg/ha","13173","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","667","Tea","2020","2020","hg/ha","13227","Fc","Calculated data"
