kew_id,taxon_name,taxon_name_binom,authors,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,from_BI_material,data_source,ID
727641-1,Potentilla anserina L.,Potentilla anserina,L.,0.94,0.47,921.96,460.98,n,Šmarda et al. 2019,2
727660-1,Potentilla argentea L.,Potentilla argentea,L.,1.29,0.65,1264.76,632.38,n,Šmarda et al. 2019,2
60457410-2,Potentilla erecta (L.) Raeusch.,Potentilla erecta,(L.) Raeusch.,1.13,0.57,1109.29,554.64,n,Šmarda et al. 2019,2
60457410-2,Potentilla erecta (L.) Raeusch.,Potentilla erecta,(L.) Raeusch.,1.32,0.66,1287.73,643.86,n,Šmarda et al. 2019,2
728285-1,Potentilla inclinata Vill.,Potentilla inclinata,Vill.,1.4,0.7,1371.14,685.57,n,Šmarda et al. 2019,2
728598-1,Potentilla norvegica L.,Potentilla norvegica,L.,1.88,0.94,1839.34,919.67,n,Šmarda et al. 2019,2
209483-2,Potentilla recta L.,Potentilla recta,L.,1.44,0.72,1405.66,702.83,n,Šmarda et al. 2019,2
324739-2,Potentilla reptans L.,Potentilla reptans,L.,1.24,0.62,1209.51,604.75,n,Šmarda et al. 2019,2
60455705-2,Potentilla sterilis (L.) Garcke,Potentilla sterilis,(L.) Garcke,1.56,0.78,1526.75,763.37,n,Šmarda et al. 2019,2
324741-2,Potentilla verna L.,Potentilla verna,L.,1.63,0.81,1589.54,794.77,n,Šmarda et al. 2019,2
324741-2,Potentilla verna L.,Potentilla verna,L.,1.26,0.63,1230.07,615.03,n,Šmarda et al. 2019,2
701870-1,Primula elatior (L.) Hill,Primula elatior,(L.) Hill,0.96,0.48,943.72,471.86,n,Šmarda et al. 2019,2
30005260-2,Primula farinosa L.,Primula farinosa,L.,3,1.5,2938.01,1469.01,n,Šmarda et al. 2019,2
702751-1,Primula veris L.,Primula veris,L.,0.85,0.43,833.01,416.51,n,Šmarda et al. 2019,2
702779-1,Primula vulgaris Huds.,Primula vulgaris,Huds.,0.88,0.44,861.22,430.61,n,Šmarda et al. 2019,2
60464253-2,Prunella grandiflora (L.) Scholler,Prunella grandiflora,(L.) Scholler,1.27,0.63,1237.86,618.93,n,Šmarda et al. 2019,2
455135-1,Prunella laciniata (L.) L.,Prunella laciniata,(L.) L.,1.5,0.75,1464.98,732.49,n,Šmarda et al. 2019,2
455176-1,Prunella vulgaris L.,Prunella vulgaris,L.,1.24,0.62,1209.75,604.88,n,Šmarda et al. 2019,2
30093848-2,Prunus avium (L.) L.,Prunus avium,(L.) L.,0.71,0.36,694.39,347.2,n,Šmarda et al. 2019,2
30093848-2,Prunus avium (L.) L.,Prunus avium,(L.) L.,0.74,0.37,719.08,359.54,n,Šmarda et al. 2019,2
729568-1,Prunus cerasifera Ehrh.,Prunus cerasifera,Ehrh.,0.55,0.27,537.38,268.69,n,Šmarda et al. 2019,2
30221374-2,Prunus domestica L.,Prunus domestica,L.,1.78,0.89,1737.63,868.82,n,Šmarda et al. 2019,2
729931-1,Prunus mahaleb L.,Prunus mahaleb,L.,0.6,0.3,584.38,292.19,n,Šmarda et al. 2019,2
730076-1,Prunus padus L.,Prunus padus,L.,0.98,0.49,954.42,477.21,n,Šmarda et al. 2019,2
730297-1,Prunus spinosa L.,Prunus spinosa,L.,1.17,0.58,1140.82,570.41,n,Šmarda et al. 2019,2
673928-1,Pseudofumaria lutea (L.) Borkh.,Pseudofumaria lutea,(L.) Borkh.,1.23,0.61,1200.21,600.1,n,Šmarda et al. 2019,2
677141-1,Pseudotsuga menziesii (Mirb.) Franco,Pseudotsuga menziesii,(Mirb.) Franco,29.94,14.97,29278.84,14639.42,n,Šmarda et al. 2019,2
77069422-1,Pseudoturritis turrita (L.) Al-Shehbaz,Pseudoturritis turrita,(L.) Al-Shehbaz,0.77,0.39,755.38,377.69,n,Šmarda et al. 2019,2
17210060-1,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,(L.) Kuhn,13.7,6.85,13397.43,6698.72,n,Šmarda et al. 2019,2
